ORB,SIFT,AKAZE
77.0,86.35451505016722,91.9047619047619
78.0,86.80412371134021,89.90498812351544
74.4,80.82936777702243,90.26128266033254
70.0,80.28552005438478,90.11904761904762
73.2,84.80492813141683,90.48751486325803
66.8,79.62085308056872,86.34204275534442
73.0,85.30805687203792,89.97641509433963
77.2,88.77551020408163,90.44811320754717
68.60000000000001,81.62711864406779,88.5478158205431
61.8,75.77388963660835,87.10059171597632
58.599999999999994,73.35127860026918,83.33333333333334
61.0,76.66214382632293,85.20231213872832
66.60000000000001,75.42201215395004,86.82080924855491
54.0,73.53139770425389,84.24101969872537
69.6,83.76712328767123,90.15063731170336
85.8,92.18642906100068,94.19953596287704
74.4,82.86497601096642,90.23255813953487
76.8,81.53950953678473,90.94076655052264
74.0,83.44686648501363,90.38901601830663
70.19999999999999,81.16438356164383,90.51918735891647
73.8,79.6736913664174,88.03611738148985
82.39999999999999,82.93677770224338,89.81693363844394
72.0,76.69322709163346,89.35447338618346
89.0,92.62948207171314,93.84098544232923
81.0,83.9202657807309,90.14557670772676
80.2,85.62753036437248,90.8675799086758
80.4,85.2233676975945,91.4027149321267
85.39999999999999,91.2568306010929,93.66515837104072
85.39999999999999,86.00682593856655,92.85714285714286
87.4,89.44860449285228,93.13835770528684
86.0,86.92988427501702,92.80089988751406
85.39999999999999,89.03095558546433,93.34836527621195
78.60000000000001,84.38761776581427,90.19165727170237
84.0,89.8936170212766,92.55918827508455
84.39999999999999,89.1622340425532,92.89740698985344
80.60000000000001,89.18558077436583,92.05448354143019
85.2,84.71128608923884,91.05322763306908
86.6,90.09186351706036,93.43148357870895
81.39999999999999,86.86131386861314,92.54237288135593
85.39999999999999,90.08592200925314,93.44632768361582
79.2,83.41044282881693,91.83673469387756
82.6,85.03034389750506,91.51583710407239
82.6,87.5252865812542,91.9683257918552
86.6,89.48087431693989,93.13501144164759
79.2,86.92411924119241,92.11428571428571
84.2,87.71100607697502,92.59681093394077
70.8,83.38960162052668,90.09111617312074
79.60000000000001,83.07692307692308,90.05649717514125
85.0,85.35620052770449,92.09039548022598
81.39999999999999,86.60949868073878,91.73272933182332
67.60000000000001,76.78929765886288,86.07021517553794
83.2,91.77173191771732,93.72146118721462
69.39999999999999,79.89382879893829,88.4703196347032
72.2,77.90927021696253,88.27586206896552
68.0,78.87139107611549,87.70301624129931
84.8,86.48293963254594,91.869918699187
77.0,79.35142289874256,89.40774487471526
89.60000000000001,90.93893630991464,92.59681093394077
89.4,91.72685489166119,93.69266055045871
88.2,87.89682539682539,92.77522935779817
87.2,87.51668891855807,91.84845005740529
87.6,89.28571428571429,92.76693455797933
81.39999999999999,85.02350570852921,91.65701042873697
82.8,85.23178807947019,93.51100811123986
84.0,86.88741721854305,92.37875288683603
83.8,86.82119205298014,91.72413793103448
87.0,90.28609447771125,93.33333333333333
76.6,79.37458416500333,91.21387283236994
77.4,84.30034129692832,89.9548532731377
77.8,83.4924965893588,89.27765237020317
76.2,81.17326057298773,90.20501138952164
79.0,86.20218579234972,91.76201372997713
67.4,78.40986977381769,88.21510297482837
74.8,80.39753255654558,88.67276887871853
74.0,83.52860096485183,88.1199538638985
70.19999999999999,81.736733287388,84.31372549019608
70.0,85.00355366027009,85.41423570595099
66.0,82.87135749822318,86.65893271461717
69.0,85.1399856424982,83.42922899884925
69.19999999999999,79.46741415557112,85.385500575374
72.6,84.91083676268862,88.7601390498262
75.8,89.36899862825788,89.5712630359212
71.0,83.36798336798337,89.728453364817
73.8,83.25191905094208,90.39145907473309
74.2,85.34067446662078,89.89298454221165
80.80000000000001,85.96008258774948,91.30952380952381
72.39999999999999,82.20516399162597,87.6470588235294
75.0,84.25357873210633,90.23529411764706
76.2,84.0924541128484,90.42553191489363
68.60000000000001,70.36029911624745,87.16136631330977
75.4,81.160409556314,89.30669800235017
76.8,79.94409503843465,88.71915393654524
80.4,85.6353591160221,91.35071090047393
77.60000000000001,83.83977900552486,88.38862559241706
78.8,85.9451862262825,90.54373522458629
73.8,83.33333333333334,87.99533799533799
78.60000000000001,87.16690042075737,88.93956670467503
73.2,82.11781206171108,83.35233751425314
73.4,79.0436005625879,80.27522935779817
71.39999999999999,82.70042194092827,78.44036697247707
74.0,82.28488792480115,79.41176470588235
63.4,75.63268257411424,78.39366515837104
72.2,82.5018615040953,78.97142857142858
69.8,83.61876396128072,83.76168224299066
66.2,80.74074074074075,83.1603229527105
73.4,83.77777777777777,85.46712802768167
74.4,81.72284644194757,87.13789107763616
76.0,86.54135338345864,88.70967741935483
72.6,82.98507462686567,89.09299655568313
75.6,86.08438193930422,89.32261768082664
78.2,87.19068413391557,90.12629161882893
81.39999999999999,88.35516739446871,90.18264840182648
77.4,86.34039444850255,90.41095890410958
77.8,85.48387096774194,89.09299655568313
77.4,85.18253400143165,91.15958668197474
72.6,78.3106657122405,88.04597701149424
69.0,80.84179970972424,87.74120317820659
77.4,87.81725888324873,91.71396140749148
79.0,90.45226130653266,92.05448354143019
74.6,82.84278535534817,89.21679909194098
79.4,87.81542898341745,90.87799315849487
81.8,85.07570295602018,89.59537572254335
78.60000000000001,84.23357664233576,90.05847953216374
79.4,83.22295805739515,89.88235294117646
83.8,86.08438193930422,91.33489461358315
82.6,85.54744525547446,92.32558139534883
86.6,89.98559077809799,93.03944315545245
79.0,83.64022662889519,91.29930394431554
87.2,89.58923512747874,92.70588235294117
85.39999999999999,88.01148600143574,91.16279069767442
84.8,90.81119885139985,92.09302325581396
80.0,80.66378066378066,86.56542056074767
78.0,87.70131771595901,91.82242990654206
79.80000000000001,91.12727272727273,93.33333333333333
78.0,85.81713462922966,91.04651162790698
79.80000000000001,87.38548273431994,90.6896551724138
73.6,82.02959830866807,86.0919540229885
80.60000000000001,86.24229979466119,88.33718244803696
81.2,86.99520876112253,88.72266973532797
78.0,86.15600843288827,88.37744533947065
80.60000000000001,87.76928422515637,88.04100227790433
73.2,83.59972202918694,80.29612756264237
77.60000000000001,85.12280701754385,80.93607305936074
79.0,89.26315789473685,85.27397260273972
74.6,87.63326226012794,85.03401360544217
74.2,86.06965174129353,84.80725623582767
69.39999999999999,78.37078651685393,81.99767711962835
74.4,79.81779957953749,82.4622531939605
72.8,81.21508379888269,84.34886499402629
75.2,85.89385474860335,88.74251497005989
79.2,83.3907649896623,88.2915173237754
77.0,86.21640248104755,85.18518518518519
73.6,82.1008984105045,85.3012048192771
77.2,81.1333794056669,85.18072289156626
79.80000000000001,84.4566712517194,88.10096153846155
79.0,84.3191196698762,90.5048076923077
87.6,88.81118881118881,93.3252427184466
82.8,84.96503496503497,89.07766990291263
81.39999999999999,88.47765363128491,92.4390243902439
76.0,88.49372384937239,89.68446601941747
78.60000000000001,84.93723849372385,85.0835322195704
72.8,78.22983583154888,81.62291169451073
78.8,83.47398030942334,82.47914183551848
84.2,87.50872295882763,84.43670150987224
84.2,88.02768166089966,88.32369942196532
82.19999999999999,83.9446366782007,87.5
81.6,86.00138600138601,89.6788990825688
87.0,86.76368676368676,90.35187287173666
80.4,84.74095102909865,88.7627695800227
85.6,83.66619115549216,86.0091743119266
85.0,85.29829545454545,87.36964078794901
85.6,88.28510938602682,91.17647058823529
85.6,89.99305072967339,89.22716627634661
80.4,85.40653231410703,89.46135831381733
81.0,85.69424964936886,88.03222094361335
80.4,84.15147265077138,84.91428571428571
76.4,83.65045806906272,86.19153674832963
78.60000000000001,81.9027181688126,86.77777777777777
89.4,91.19541875447388,93.22222222222221
72.39999999999999,70.98853868194843,87.73690078037905
85.6,87.56363636363636,90.46015712682379
89.0,87.03966005665723,91.65727170236752
90.8,89.44759206798867,91.57303370786516
89.2,88.96797153024912,90.87875417130145
87.6,84.12811387900356,90.10011123470522
86.8,85.55718475073314,88.43995510662177
86.8,86.7938371239912,89.93288590604027
88.4,87.48211731044348,92.07589285714286
83.2,82.97567954220315,90.29017857142857
82.8,86.65689149560117,91.16331096196868
86.4,89.22852983988355,92.76018099547511
85.2,85.98726114649682,92.70482603815937
87.2,86.83651804670913,92.92929292929293
84.39999999999999,85.15406162464986,92.55079006772009
86.8,88.79551820728291,92.42937853107345
93.60000000000001,91.41449683321603,94.68926553672317
85.39999999999999,83.74384236453201,89.12556053811659
77.4,81.78545716342693,89.49720670391062
86.8,89.27285817134629,91.84357541899442
84.8,83.83620689655173,91.51583710407239
82.39999999999999,85.84770114942529,94.2242355605889
87.8,88.63309352517985,93.57384441939121
84.6,85.03597122302158,90.6636670416198
